,ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
525,16791,Single,Male,60000.0,5,Bachelors,Management,Yes,3,10+ Miles,North America,59.0,Yes
526,15382,Married,Female,110000.0,1,Bachelors,Management,Yes,2,1-2 Miles,North America,44.0,No
527,11641,Married,Male,50000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,36.0,No
528,11935,Single,Female,30000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28.0,No
529,13233,Married,Male,60000.0,2,Partial College,Professional,Yes,1,10+ Miles,North America,57.0,Yes
530,25909,Married,Male,60000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,27.0,Yes
531,14092,Single,Male,30000.0,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,28.0,No
532,29143,Single,Female,60000.0,1,Bachelors,Professional,No,1,0-1 Miles,North America,44.0,Yes
533,24941,Married,Male,60000.0,3,Bachelors,Management,Yes,2,10+ Miles,North America,66.0,No
534,24637,Married,Male,40000.0,4,High School,Professional,Yes,2,10+ Miles,North America,64.0,No
535,23893,Married,Male,50000.0,3,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,41.0,No
536,13907,Single,Female,80000.0,3,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,41.0,Yes
537,14900,Married,Female,40000.0,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,49.0,Yes
538,11262,Married,Female,80000.0,4,Bachelors,Management,Yes,0,0-1 Miles,North America,42.0,No
539,22294,Single,Female,70000.0,0,Bachelors,Professional,No,1,2-5 Miles,North America,37.0,Yes
540,12195,Single,Female,70000.0,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,52.0,No
541,25375,Married,Male,50000.0,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,34.0,No
542,11143,Married,Male,40000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,29.0,No
543,25898,Married,Female,70000.0,2,High School,Professional,Yes,2,2-5 Miles,North America,53.0,No
544,24397,Single,Male,120000.0,2,Bachelors,Management,No,4,1-2 Miles,North America,40.0,No
545,19758,Single,Male,60000.0,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,29.0,No
546,15529,Married,Male,60000.0,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,43.0,Yes
547,19884,Married,Male,60000.0,2,High School,Professional,Yes,2,2-5 Miles,North America,55.0,Yes
548,18674,Single,Female,80000.0,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,48.0,No
550,14063,Single,Female,70000.0,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,42.0,Yes
551,27393,Married,Female,50000.0,4,Bachelors,Management,Yes,2,10+ Miles,North America,63.0,No
552,14417,Single,Male,60000.0,3,High School,Professional,Yes,2,10+ Miles,North America,54.0,Yes
553,17533,Married,Male,40000.0,3,Partial College,Professional,No,2,5-10 Miles,North America,73.0,Yes
555,17025,Single,Male,50000.0,0,Partial College,Skilled Manual,No,1,2-5 Miles,North America,39.0,Yes
556,25293,Married,Male,80000.0,4,Bachelors,Management,Yes,0,1-2 Miles,North America,42.0,No
557,24725,Married,Female,40000.0,3,Partial College,Clerical,Yes,0,1-2 Miles,North America,31.0,No
558,23200,Married,Female,50000.0,3,Bachelors,Skilled Manual,Yes,2,0-1 Miles,North America,41.0,No
559,15895,Single,Female,60000.0,2,Bachelors,Management,Yes,0,10+ Miles,North America,58.0,No
560,18577,Married,Female,60000.0,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,40.0,No
562,18560,Married,Female,70000.0,2,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34.0,Yes
563,25006,Single,Female,30000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28.0,No
564,17369,Single,Male,30000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,27.0,No
565,14495,Married,Male,40000.0,3,Partial College,Professional,No,2,5-10 Miles,North America,54.0,Yes
566,18847,Married,Female,60000.0,2,Graduate Degree,Management,Yes,2,5-10 Miles,North America,70.0,No
567,14754,Married,Male,40000.0,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,48.0,Yes
568,23378,Married,Male,70000.0,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44.0,Yes
569,26452,Single,Male,50000.0,3,Graduate Degree,Management,Yes,2,10+ Miles,North America,69.0,No
570,20370,Married,Male,70000.0,3,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52.0,No
571,20528,Married,Male,40000.0,2,Partial High School,Skilled Manual,Yes,2,2-5 Miles,North America,55.0,No
572,23549,Single,Male,30000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30.0,No
573,21751,Married,Male,60000.0,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,63.0,No
574,21266,Single,Female,80000.0,0,Bachelors,Management,Yes,1,1-2 Miles,North America,34.0,Yes
575,13388,Single,Male,60000.0,2,Partial College,Professional,Yes,1,10+ Miles,North America,56.0,No
576,18752,Single,Female,40000.0,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,31.0,No
577,16917,Married,Male,120000.0,1,Bachelors,Management,Yes,4,0-1 Miles,North America,38.0,No
578,15313,Married,Male,60000.0,4,Bachelors,Management,Yes,2,2-5 Miles,North America,59.0,No
579,25329,Single,Female,40000.0,3,Partial College,Clerical,No,2,0-1 Miles,North America,32.0,No
580,20380,Married,Female,60000.0,3,Graduate Degree,Management,Yes,2,10+ Miles,North America,69.0,No
581,23089,Married,Male,40000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28.0,No
582,13749,Married,Male,80000.0,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47.0,No
583,24943,Married,Male,60000.0,3,Bachelors,Management,Yes,2,10+ Miles,North America,66.0,No
584,28667,Single,Male,70000.0,2,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,37.0,Yes
585,15194,Single,Male,120000.0,2,Bachelors,Management,No,3,0-1 Miles,North America,39.0,Yes
586,17436,Married,Male,60000.0,2,High School,Professional,No,2,1-2 Miles,North America,51.0,No
587,18935,Married,Female,130000.0,0,Graduate Degree,Management,Yes,3,1-2 Miles,North America,40.0,No
588,16871,Married,Female,90000.0,2,High School,Professional,Yes,1,10+ Miles,North America,51.0,Yes
589,12100,Single,Male,60000.0,2,Bachelors,Management,Yes,0,10+ Miles,North America,57.0,No
590,23158,Married,Female,60000.0,1,Graduate Degree,Professional,No,0,0-1 Miles,North America,35.0,Yes
591,18545,Married,Male,40000.0,4,High School,Professional,No,2,10+ Miles,North America,61.0,Yes
592,18391,Single,Female,80000.0,5,Partial College,Professional,Yes,2,5-10 Miles,North America,44.0,No
593,19812,Single,Female,70000.0,2,Partial College,Professional,Yes,0,5-10 Miles,North America,49.0,Yes
594,27660,Married,Male,80000.0,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,70.0,No
595,18058,Single,Female,20000.0,3,High School,Skilled Manual,Yes,2,2-5 Miles,North America,78.0,No
596,20343,Married,Female,90000.0,4,Partial College,Professional,Yes,1,1-2 Miles,North America,45.0,No
597,28997,Single,Male,40000.0,2,High School,Professional,No,1,2-5 Miles,North America,58.0,Yes
598,24398,Married,Male,130000.0,1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,41.0,No
599,19002,Married,Female,60000.0,2,Partial College,Professional,Yes,1,2-5 Miles,North America,57.0,Yes
600,28609,Married,Male,30000.0,2,High School,Skilled Manual,No,2,0-1 Miles,North America,49.0,No
602,18858,Single,Male,60000.0,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52.0,Yes
603,20000,Married,Male,60000.0,1,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35.0,Yes
604,25261,Married,Male,40000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27.0,No
605,17458,Single,Male,70000.0,3,High School,Professional,Yes,0,5-10 Miles,North America,52.0,Yes
606,11644,Single,Male,40000.0,2,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,36.0,No
607,16145,Single,Female,70000.0,5,Graduate Degree,Professional,Yes,3,10+ Miles,North America,46.0,Yes
608,16890,Married,Male,60000.0,3,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52.0,Yes
609,25983,Married,Male,70000.0,0,Bachelors,Professional,No,1,0-1 Miles,North America,43.0,No
610,14633,Married,Male,60000.0,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44.0,No
611,22994,Married,Female,80000.0,0,Bachelors,Management,Yes,1,1-2 Miles,North America,34.0,Yes
612,22983,Single,Female,30000.0,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,27.0,No
613,25184,Single,Male,110000.0,1,Partial College,Professional,Yes,4,5-10 Miles,North America,45.0,Yes
614,14469,Married,Female,100000.0,3,Partial College,Professional,Yes,4,1-2 Miles,North America,45.0,No
616,16245,Single,Female,80000.0,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47.0,No
617,17858,Married,Male,40000.0,4,High School,Skilled Manual,Yes,2,2-5 Miles,North America,44.0,Yes
618,25347,Single,Female,20000.0,3,Partial High School,Clerical,No,2,0-1 Miles,North America,49.0,No
619,15814,Single,Female,40000.0,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,30.0,No
620,11259,Married,Female,100000.0,4,Partial College,Professional,Yes,4,2-5 Miles,North America,41.0,Yes
621,11200,Married,Male,70000.0,4,Bachelors,Management,Yes,1,1-2 Miles,North America,58.0,No
622,25101,Married,Male,60000.0,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47.0,No
623,21801,Married,Female,70000.0,4,Partial College,Professional,Yes,1,1-2 Miles,North America,55.0,No
624,25943,Single,Female,70000.0,0,Partial College,Skilled Manual,No,2,0-1 Miles,North America,27.0,Yes
625,22127,Married,Male,60000.0,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,67.0,No
626,20414,Married,Female,60000.0,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,29.0,No
627,23672,Married,Female,60000.0,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,67.0,No
628,29255,Single,Male,80000.0,3,Partial College,Professional,No,1,1-2 Miles,North America,51.0,Yes
629,28815,Married,Female,50000.0,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,35.0,No
630,27753,Married,Male,40000.0,0,High School,Skilled Manual,No,2,1-2 Miles,North America,30.0,No
631,27643,Single,Male,70000.0,5,Partial College,Professional,Yes,3,2-5 Miles,North America,44.0,No
632,13754,Single,Female,80000.0,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,48.0,No
633,22088,Married,Female,130000.0,1,Bachelors,Management,Yes,2,0-1 Miles,North America,45.0,Yes
634,27388,Married,Male,60000.0,3,Bachelors,Management,No,2,1-2 Miles,North America,66.0,No
635,24745,Single,Female,30000.0,2,High School,Skilled Manual,No,2,0-1 Miles,North America,49.0,No
636,29237,Single,Female,120000.0,4,Partial College,Professional,Yes,3,5-10 Miles,North America,43.0,Yes
637,15272,Single,Male,40000.0,0,High School,Skilled Manual,No,2,1-2 Miles,North America,30.0,No
639,14507,Married,Male,100000.0,2,Graduate Degree,Management,Yes,3,1-2 Miles,North America,65.0,No
640,25886,Married,Female,60000.0,2,Partial College,Professional,Yes,2,2-5 Miles,North America,56.0,Yes
641,21441,Married,Male,50000.0,4,Bachelors,Management,Yes,2,10+ Miles,North America,64.0,No
642,21741,Married,Female,70000.0,3,Partial College,Professional,Yes,2,5-10 Miles,North America,50.0,Yes
643,14572,Married,Female,70000.0,3,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35.0,Yes
644,23368,Married,Female,60000.0,5,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,41.0,No
645,16217,Single,Female,60000.0,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,39.0,No
647,22010,Single,Male,40000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31.0,No
648,25872,Single,Female,70000.0,2,Bachelors,Management,No,1,2-5 Miles,North America,58.0,Yes
649,19164,Single,Female,70000.0,0,Bachelors,Professional,No,1,2-5 Miles,North America,38.0,Yes
650,18435,Single,Female,70000.0,5,Graduate Degree,Management,Yes,2,10+ Miles,North America,67.0,Yes
651,14284,Single,Male,60000.0,0,Partial College,Professional,No,2,1-2 Miles,North America,32.0,Yes
652,11287,Married,Male,70000.0,5,Partial College,Professional,No,3,5-10 Miles,North America,45.0,No
653,13066,Single,Male,30000.0,0,High School,Skilled Manual,No,2,1-2 Miles,North America,31.0,Yes
654,29106,Single,Male,40000.0,0,High School,Skilled Manual,No,2,1-2 Miles,North America,31.0,Yes
655,26236,Married,Female,40000.0,3,Partial College,Clerical,Yes,1,0-1 Miles,North America,31.0,No
656,17531,Married,Male,60000.0,2,High School,Professional,No,2,5-10 Miles,North America,50.0,No
657,12964,Married,Male,70000.0,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,44.0,No
658,19133,Single,Male,50000.0,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38.0,Yes
659,24643,Single,Female,60000.0,4,Bachelors,Management,Yes,2,10+ Miles,North America,63.0,No
660,21599,Married,Female,60000.0,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36.0,Yes
661,22976,Single,Male,40000.0,0,High School,Skilled Manual,No,2,0-1 Miles,North America,28.0,Yes
662,27637,Single,Female,100000.0,1,Partial College,Professional,No,3,1-2 Miles,North America,44.0,No
663,11890,Married,Female,70000.0,5,Graduate Degree,Professional,Yes,1,0-1 Miles,North America,47.0,No
664,28580,Married,Female,80000.0,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,40.0,Yes
665,14443,Married,Male,130000.0,1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,40.0,No
666,17864,Married,Female,60000.0,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,46.0,Yes
667,20505,Married,Female,40000.0,5,High School,Professional,No,2,10+ Miles,North America,61.0,No
668,14592,Married,Female,60000.0,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,40.0,No
669,22227,Married,Female,60000.0,2,High School,Professional,Yes,2,5-10 Miles,North America,50.0,No
670,21471,Married,Male,70000.0,2,Partial College,Professional,Yes,1,10+ Miles,North America,59.0,No
671,22252,Single,Female,60000.0,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36.0,Yes
672,21260,Single,Female,40000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30.0,No
673,11817,Single,Female,70000.0,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35.0,Yes
674,19223,Married,Female,30000.0,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,48.0,No
675,18517,Married,Male,100000.0,3,Bachelors,Management,Yes,4,0-1 Miles,North America,41.0,No
676,21717,Married,Male,40000.0,2,Partial College,Clerical,Yes,1,0-1 Miles,North America,47.0,No
677,13760,Married,Male,60000.0,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47.0,No
678,18145,Married,Male,80000.0,5,Bachelors,Management,No,2,2-5 Miles,Europe,62.0,No
679,21770,Married,Male,60000.0,4,Bachelors,Management,Yes,2,10+ Miles,North America,60.0,No
680,11165,Married,Female,60000.0,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,33.0,No
681,16377,Single,Female,80000.0,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47.0,No
682,26248,Married,Male,20000.0,3,Partial High School,Clerical,No,2,0-1 Miles,North America,52.0,No
683,23461,Married,Female,90000.0,5,Partial College,Professional,Yes,3,2-5 Miles,North America,40.0,No
684,29133,Single,Female,60000.0,4,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,42.0,No
685,27673,Single,Female,60000.0,3,Graduate Degree,Management,Yes,2,5-10 Miles,North America,53.0,Yes
686,12774,Married,Female,40000.0,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,51.0,Yes
687,18910,Single,Male,30000.0,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,30.0,No
689,16725,Married,Male,30000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,26.0,No
690,28269,Single,Female,130000.0,1,Bachelors,Management,No,1,2-5 Miles,North America,45.0,No
691,23144,Married,Male,50000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,34.0,Yes
692,23376,Married,Male,70000.0,1,Bachelors,Professional,Yes,1,2-5 Miles,North America,44.0,Yes
693,25970,Single,Female,60000.0,4,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,41.0,Yes
694,28068,Single,Female,80000.0,3,Graduate Degree,Professional,No,0,0-1 Miles,North America,36.0,Yes
696,29112,Single,Male,60000.0,0,Partial College,Professional,No,2,1-2 Miles,North America,30.0,No
697,14090,Married,Female,30000.0,0,Partial High School,Clerical,No,2,0-1 Miles,North America,28.0,No
698,27040,Married,Male,20000.0,2,Partial High School,Clerical,Yes,2,1-2 Miles,North America,49.0,No
699,23479,Single,Male,90000.0,0,Partial College,Professional,No,2,0-1 Miles,North America,43.0,Yes
700,16795,Married,Female,70000.0,4,Bachelors,Management,Yes,1,1-2 Miles,North America,59.0,No
701,22014,Single,Male,30000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,26.0,No
702,13314,Married,Male,120000.0,1,High School,Professional,Yes,4,5-10 Miles,North America,46.0,Yes
703,11619,Single,Female,50000.0,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33.0,No
704,29132,Single,Female,40000.0,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,42.0,Yes
705,11199,Married,Female,70000.0,4,Bachelors,Management,Yes,1,10+ Miles,North America,59.0,No
706,20296,Single,Female,60000.0,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,33.0,Yes
707,17546,Married,Female,70000.0,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,44.0,Yes
708,18069,Married,Male,70000.0,5,Bachelors,Management,Yes,4,10+ Miles,North America,60.0,No
709,23712,Single,Female,70000.0,2,Bachelors,Management,Yes,1,10+ Miles,North America,59.0,No
710,23358,Married,Male,60000.0,0,High School,Professional,Yes,2,5-10 Miles,North America,32.0,Yes
711,20518,Married,Female,70000.0,2,Partial College,Professional,Yes,1,10+ Miles,North America,58.0,No
712,28026,Married,Female,40000.0,2,High School,Professional,No,2,2-5 Miles,North America,59.0,No
713,11669,Single,Female,70000.0,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38.0,No
714,16020,Married,Male,40000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,28.0,Yes
715,27090,Married,Female,60000.0,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,37.0,Yes
716,27198,Single,Female,80000.0,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,40.0,No
717,19661,Single,Male,90000.0,4,Bachelors,Management,Yes,1,1-2 Miles,North America,38.0,Yes
718,26327,Married,Male,70000.0,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36.0,Yes
719,26341,Married,Female,70000.0,5,Graduate Degree,Professional,Yes,2,0-1 Miles,North America,37.0,No
720,24958,Single,Female,40000.0,5,High School,Professional,No,3,2-5 Miles,North America,60.0,Yes
721,13287,Single,Male,110000.0,4,Bachelors,Management,Yes,4,5-10 Miles,North America,42.0,Yes
722,14493,Single,Female,70000.0,3,Graduate Degree,Management,No,2,1-2 Miles,North America,53.0,No
723,26678,Single,Female,80000.0,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,49.0,No
724,23275,Married,Male,30000.0,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,49.0,No
725,11270,Married,Male,130000.0,2,Graduate Degree,Management,Yes,3,0-1 Miles,North America,42.0,Yes
726,20084,Married,Male,20000.0,2,High School,Manual,No,2,0-1 Miles,North America,53.0,No
727,16144,Married,Male,70000.0,1,Graduate Degree,Professional,Yes,1,0-1 Miles,North America,46.0,Yes
728,27731,Married,Male,40000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27.0,No
729,11886,Married,Female,60000.0,3,Bachelors,Professional,Yes,1,0-1 Miles,North America,48.0,Yes
730,24324,Single,Female,60000.0,4,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,41.0,Yes
731,22220,Married,Male,60000.0,2,High School,Professional,No,2,1-2 Miles,North America,49.0,Yes
732,26625,Single,Female,60000.0,0,Graduate Degree,Professional,Yes,1,2-5 Miles,North America,38.0,Yes
733,23027,Single,Male,130000.0,1,Bachelors,Management,No,4,0-1 Miles,North America,44.0,No
734,16867,Single,Female,130000.0,1,Bachelors,Management,No,3,0-1 Miles,North America,45.0,Yes
735,14514,Single,Female,30000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,26.0,No
736,19634,Married,Male,40000.0,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,31.0,No
737,18504,Married,Male,70000.0,2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,49.0,No
738,28799,Single,Female,40000.0,2,Partial College,Clerical,No,1,1-2 Miles,North America,47.0,Yes
739,11225,Married,Female,60000.0,2,Partial College,Professional,Yes,1,10+ Miles,North America,55.0,No
740,17657,Married,Male,40000.0,4,Partial College,Clerical,No,0,0-1 Miles,North America,30.0,No
741,14913,Married,Female,40000.0,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,48.0,Yes
742,14077,Single,Male,30000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30.0,No
743,13296,Married,Male,110000.0,1,Bachelors,Management,Yes,3,5-10 Miles,North America,45.0,No
744,20535,Married,Female,70000.0,4,Partial College,Professional,Yes,1,10+ Miles,North America,56.0,No
745,12452,Married,Male,60000.0,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47.0,Yes
746,28043,Married,Female,60000.0,2,Bachelors,Management,Yes,0,10+ Miles,North America,56.0,No
747,12957,Single,Female,70000.0,1,Bachelors,Professional,No,1,0-1 Miles,North America,44.0,No
748,15412,Married,Male,130000.0,2,Graduate Degree,Management,Yes,3,2-5 Miles,North America,69.0,No
749,20514,Married,Female,70000.0,2,Partial College,Professional,Yes,1,2-5 Miles,North America,59.0,No
750,20758,Married,Male,30000.0,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,50.0,No
751,11801,Married,Male,60000.0,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36.0,No
752,22211,Married,Male,60000.0,0,Partial College,Professional,Yes,2,5-10 Miles,North America,32.0,No
753,28087,Single,Female,40000.0,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,27.0,No
754,23668,Married,Female,40000.0,4,High School,Professional,Yes,2,5-10 Miles,North America,59.0,Yes
755,27441,Married,Male,60000.0,3,High School,Professional,No,2,2-5 Miles,North America,53.0,No
756,27261,Married,Male,40000.0,1,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,36.0,Yes
757,18649,Single,Male,30000.0,1,High School,Clerical,Yes,2,1-2 Miles,North America,51.0,Yes
758,21714,Single,Female,80000.0,5,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47.0,No
759,23217,Single,Female,60000.0,3,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,43.0,Yes
760,23797,Single,Male,20000.0,3,Partial High School,Clerical,No,2,0-1 Miles,North America,50.0,No
